term,definition,domain
count the stock,"A industrial term meaning stoku saymak, used in site, drawing, installation or coordination contexts.",industrial
inventory record,"A industrial term meaning envanter kaydı, used in site, drawing, installation or coordination contexts.",industrial
factory layout,"A industrial term meaning fabrika yerleşimi, used in site, drawing, installation or coordination contexts.",industrial
facility layout design,"A industrial term meaning tesis yerleşimi tasarımı, used in site, drawing, installation or coordination contexts.",industrial
plant layout,"A industrial term meaning fabrika düzeni, used in site, drawing, installation or coordination contexts.",industrial
material handling system,"A industrial term meaning malzeme taşıma sistemi, used in site, drawing, installation or coordination contexts.",industrial
space utilization,"A industrial term meaning alan kullanımı, used in site, drawing, installation or coordination contexts.",industrial
workstation design,"A industrial term meaning çalışma istasyonu tasarımı, used in site, drawing, installation or coordination contexts.",industrial
process layout,"A industrial term meaning süreç yerleşimi, used in site, drawing, installation or coordination contexts.",industrial
product layout,"A industrial term meaning ürün yerleşimi, used in site, drawing, installation or coordination contexts.",industrial
fixed position layout,"A industrial term meaning sabit konum yerleşimi, used in site, drawing, installation or coordination contexts.",industrial
facility location analysis,"A industrial term meaning tesis yer seçimi analizi, used in site, drawing, installation or coordination contexts.",industrial
material flow analysis,"A industrial term meaning malzeme akışı analizi, used in site, drawing, installation or coordination contexts.",industrial
systematic layout planning,"A industrial term meaning sistematik yerleşim planlaması, used in site, drawing, installation or coordination contexts.",industrial
facility relocation strategy,"A industrial term meaning tesis taşıma stratejisi, used in site, drawing, installation or coordination contexts.",industrial
factory space,"A industrial term meaning fabrika alanı, used in site, drawing, installation or coordination contexts.",industrial
aisle width,"A industrial term meaning koridor genişliği, used in site, drawing, installation or coordination contexts.",industrial
work method,"A industrial term meaning çalışma yöntemi, used in site, drawing, installation or coordination contexts.",industrial
time study,"A industrial term meaning zaman etüdü, used in site, drawing, installation or coordination contexts.",industrial
motion study,"A industrial term meaning hareket etüdü, used in site, drawing, installation or coordination contexts.",industrial
work measurement,"A industrial term meaning iş ölçümü, used in site, drawing, installation or coordination contexts.",industrial
standard time,"A industrial term meaning standart zaman, used in site, drawing, installation or coordination contexts.",industrial
