term,turkishMeaning,definition,exampleSentence,turkishExample,domain
operational data mining,operasyonel veri madenciliği,"A industrial term meaning operasyonel veri madenciliği, used in site, drawing, installation or coordination contexts.",The operational data mining must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce operasyonel veri madenciliği kontrol edilmelidir.,industrial
read the report,raporu okumak,"A industrial term meaning raporu okumak, used in site, drawing, installation or coordination contexts.",The read the report must be confirmed before the work continues.,İşe devam etmeden önce raporu okumak teyit edilmelidir.,industrial
data trend,veri trendi,"A industrial term meaning veri trendi, used in site, drawing, installation or coordination contexts.",The data trend must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce veri trendi kontrol edilmelidir.,industrial
smart system,akıllı sistem,"A industrial term meaning akıllı sistem, used in site, drawing, installation or coordination contexts.",The smart system should be ready before commissioning.,Devreye alma öncesinde akıllı sistem hazır olmalıdır.,industrial
predictive maintenance model,öngörücü bakım modeli,"A industrial term meaning öngörücü bakım modeli, used in site, drawing, installation or coordination contexts.",Please check the predictive maintenance model before the next inspection.,Lütfen bir sonraki muayeneden önce öngörücü bakım modeli kontrol edin.,industrial
demand prediction model,talep tahmin modeli,"A industrial term meaning talep tahmin modeli, used in site, drawing, installation or coordination contexts.",The team reviewed the demand prediction model during the technical meeting.,Ekip teknik toplantı sırasında talep tahmin modeli gözden geçirdi.,industrial
AI-driven scheduling optimization,yapay zeka destekli çizelgeleme optimizasyonu,"A industrial term meaning yapay zeka destekli çizelgeleme optimizasyonu, used in site, drawing, installation or coordination contexts.",The AI-driven scheduling optimization should be ready before commissioning.,Devreye alma öncesinde yapay zeka destekli çizelgeleme optimizasyonu hazır olmalıdır.,industrial
smart factory system,akıllı fabrika sistemi,"A industrial term meaning akıllı fabrika sistemi, used in site, drawing, installation or coordination contexts.",The smart factory system should be ready before commissioning.,Devreye alma öncesinde akıllı fabrika sistemi hazır olmalıdır.,industrial
automated data analysis,otomatik veri analizi,"A industrial term meaning otomatik veri analizi, used in site, drawing, installation or coordination contexts.",Please check the automated data analysis before the next inspection.,Lütfen bir sonraki muayeneden önce otomatik veri analizi kontrol edin.,industrial
team meeting (operations),ekip toplantısı (operasyonlar),"A industrial term meaning ekip toplantısı (operasyonlar), used in site, drawing, installation or coordination contexts.",The team reviewed the team meeting (operations) during the technical meeting.,Ekip teknik toplantı sırasında ekip toplantısı (operasyonlar) gözden geçirdi.,industrial
organizational change,organizasyonel değişim,"A industrial term meaning organizasyonel değişim, used in site, drawing, installation or coordination contexts.",The organizational change must be confirmed before the work continues.,İşe devam etmeden önce organizasyonel değişim teyit edilmelidir.,industrial
employee engagement,çalışan bağlılığı,"A industrial term meaning çalışan bağlılığı, used in site, drawing, installation or coordination contexts.",The employee engagement must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce çalışan bağlılığı kontrol edilmelidir.,industrial
training program (operations),eğitim programı (operasyonlar),"A industrial term meaning eğitim programı (operasyonlar), used in site, drawing, installation or coordination contexts.",The training program (operations) should be ready before commissioning.,Devreye alma öncesinde eğitim programı (operasyonlar) hazır olmalıdır.,industrial
resistance to change,değişime direnç,"A industrial term meaning değişime direnç, used in site, drawing, installation or coordination contexts.",Please check the resistance to change before the next inspection.,Lütfen bir sonraki muayeneden önce değişime direnç kontrol edin.,industrial
change management strategy,değişim yönetimi stratejisi,"A industrial term meaning değişim yönetimi stratejisi, used in site, drawing, installation or coordination contexts.",The team reviewed the change management strategy during the technical meeting.,Ekip teknik toplantı sırasında değişim yönetimi stratejisi gözden geçirdi.,industrial
organizational culture assessment,organizasyonel kültür değerlendirmesi,"A industrial term meaning organizasyonel kültür değerlendirmesi, used in site, drawing, installation or coordination contexts.",The organizational culture assessment must be confirmed before the work continues.,İşe devam etmeden önce organizasyonel kültür değerlendirmesi teyit edilmelidir.,industrial
stakeholder engagement plan,paydaş katılım planı,"A industrial term meaning paydaş katılım planı, used in site, drawing, installation or coordination contexts.",The stakeholder engagement plan must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce paydaş katılım planı kontrol edilmelidir.,industrial
organizational transformation roadmap,organizasyonel dönüşüm yol haritası,"A industrial term meaning organizasyonel dönüşüm yol haritası, used in site, drawing, installation or coordination contexts.",The organizational transformation roadmap should be ready before commissioning.,Devreye alma öncesinde organizasyonel dönüşüm yol haritası hazır olmalıdır.,industrial
team spirit,ekip ruhu,"A industrial term meaning ekip ruhu, used in site, drawing, installation or coordination contexts.",Please check the team spirit before the next inspection.,Lütfen bir sonraki muayeneden önce ekip ruhu kontrol edin.,industrial
employee feedback,çalışan geri bildirimi,"A industrial term meaning çalışan geri bildirimi, used in site, drawing, installation or coordination contexts.",The team reviewed the employee feedback during the technical meeting.,Ekip teknik toplantı sırasında çalışan geri bildirimi gözden geçirdi.,industrial
operations team meeting,operasyon ekibi toplantısı,"A industrial term meaning operasyon ekibi toplantısı, used in site, drawing, installation or coordination contexts.",The operations team meeting must be confirmed before the work continues.,İşe devam etmeden önce operasyon ekibi toplantısı teyit edilmelidir.,industrial
shift handover,vardiya devri,"A industrial term meaning vardiya devri, used in site, drawing, installation or coordination contexts.",The shift handover must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce vardiya devri kontrol edilmelidir.,industrial
daily briefing,günlük brifing,"A industrial term meaning günlük brifing, used in site, drawing, installation or coordination contexts.",The daily briefing should be ready before commissioning.,Devreye alma öncesinde günlük brifing hazır olmalıdır.,industrial
